,publishedAt,channelId,title,description,thumbnails,channelTitle,liveBroadcastContent,publishTime,videoID,embeds,category
1,2026-05-29T05:33:22Z,UCiinSjWS3E0vtAa3DCvp7iA,LIVE: Iran Deal? | Israel’s Escalation in Lebanon | Will Trump Invade Cuba?,"LIVE Thursday, May 28 | 12 PM ET / 9 AM PT Join Rania Khalek and Zoe Alexandra LIVE with special guests: Omar Baddar, ...","{'default': {'url': 'https://i.ytimg.com/vi/vCOKtWL-0WU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/vCOKtWL-0WU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/vCOKtWL-0WU/hqdefault.jpg', 'width': 480, 'height': 360}}",BreakThrough News,none,2026-05-29T05:33:22Z,vCOKtWL-0WU,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/vCOKtWL-0WU"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
46,2026-05-29T05:28:26Z,UCXyHjFIKz9D8ofxObOuYBbg,Rebuilding Africa in our Image,ft. @seriousbutnot2serious458.,"{'default': {'url': 'https://i.ytimg.com/vi/keebo-_n5dE/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/keebo-_n5dE/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/keebo-_n5dE/hqdefault_live.jpg', 'width': 480, 'height': 360}}",WeNeedToTalk,upcoming,2026-05-29T05:28:26Z,keebo-_n5dE,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/keebo-_n5dE"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
63,2026-05-29T05:04:18Z,UCHzCimqhvPhCH75h80pXM1Q,UAE Leaves OPEC: Impact on Oil Prices &amp; Market Analysis,"The United Arab Emirates is exiting OPEC, a major oil-producing cartel. This move suggests a strategy to increase oil production ...","{'default': {'url': 'https://i.ytimg.com/vi/pOCaES1Wk6U/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/pOCaES1Wk6U/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/pOCaES1Wk6U/hqdefault.jpg', 'width': 480, 'height': 360}}",The Black Business School  ,none,2026-05-29T05:04:18Z,pOCaES1Wk6U,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/pOCaES1Wk6U"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Productivity
5,2026-05-29T04:57:34Z,UCKLSjhp6XZUEYDT1DMcrj8w,Africa Has 30% of the World&#39;s Resources — So Why Do Africans Own None of It?,Africa holds 30% of the world's mineral resources. 60% of the world's uncultivated arable land. The largest youth population on ...,"{'default': {'url': 'https://i.ytimg.com/vi/Wj1sENd9qAg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Wj1sENd9qAg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Wj1sENd9qAg/hqdefault.jpg', 'width': 480, 'height': 360}}",Make Afrika Great ,none,2026-05-29T04:57:34Z,Wj1sENd9qAg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/Wj1sENd9qAg"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
45,2026-05-29T04:27:06Z,UCHVBLMcvOgDtFEF2bToQLqw,Zionist threaten Candace Owens children,Zionist threaten Candace Owens children #candaceowens #candaceowenspodcast #turningpointusa #benshapiro.,"{'default': {'url': 'https://i.ytimg.com/vi/8rCkK_PhNHw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/8rCkK_PhNHw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/8rCkK_PhNHw/hqdefault.jpg', 'width': 480, 'height': 360}}",We Woke Now,none,2026-05-29T04:27:06Z,8rCkK_PhNHw,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/8rCkK_PhNHw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
2,2026-05-29T03:34:32Z,UCL0u5uz7KZ9q-pe-VC8TY-w,&quot;Pro-Life Zionist&quot; Is An Oxymoron.,,"{'default': {'url': 'https://i.ytimg.com/vi/QuPyVRCNHeo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/QuPyVRCNHeo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/QuPyVRCNHeo/hqdefault.jpg', 'width': 480, 'height': 360}}",Candace Owens,none,2026-05-29T03:34:32Z,QuPyVRCNHeo,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/QuPyVRCNHeo"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
66,2026-05-29T03:30:38Z,UCAvjYgmwadC682OoC4Cc6TQ,Should the Cavs BLOW it up?,The Arena reacts to horrific end to the Cleveland Cavaliers season as Donovan Mitchell and James Harden both struggled to help ...,"{'default': {'url': 'https://i.ytimg.com/vi/0VyMp0WKXTc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/0VyMp0WKXTc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/0VyMp0WKXTc/hqdefault.jpg', 'width': 480, 'height': 360}}",The Arena,none,2026-05-29T03:30:38Z,0VyMp0WKXTc,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/0VyMp0WKXTc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Sports
37,2026-05-29T03:11:54Z,UCwbP4USYrniJGROwQNiwH-Q,Women BREAK DOWN Over Being CONSIDERED UGLY!,"Husband's NEW Singles Here: Purchase HERE: https://paigeandderson.bandcamp.com/track/lifetime-3 Hey Loves, Make Sure ...","{'default': {'url': 'https://i.ytimg.com/vi/rp4rxIq-rw4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/rp4rxIq-rw4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/rp4rxIq-rw4/hqdefault.jpg', 'width': 480, 'height': 360}}",DeeDeesReactions,none,2026-05-29T03:11:54Z,rp4rxIq-rw4,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/rp4rxIq-rw4"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
9,2026-05-29T02:57:25Z,UCeUtB7lGgo5ZVIVzqELT-1A,"IRAN STRIKES KUWAIT, KRYSTAL BALL GRILLS J STREET, MICHAEL JACKSON SONY REVEAL, ZOHRAN HOUSING WIN",Website: https://sabbysabs.com/ Patreon: https://www.patreon.com/SabrinaSalvati PayPal: ...,"{'default': {'url': 'https://i.ytimg.com/vi/dEvbNShvvqo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/dEvbNShvvqo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/dEvbNShvvqo/hqdefault.jpg', 'width': 480, 'height': 360}}",Sabby Sabs,none,2026-05-29T02:57:25Z,dEvbNShvvqo,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/dEvbNShvvqo"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
40,2026-05-29T02:00:07Z,UCbB_WVM-e7nuhWd_FB_8KBQ,Billion Dollar Scandal In Nigeria | One54 Africa Podcast,She became a Billionaire because she was siphoning oil to other countries and getting a massive cut.” - Remi #One54 ...,"{'default': {'url': 'https://i.ytimg.com/vi/Zuoixu3xHQ8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Zuoixu3xHQ8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Zuoixu3xHQ8/hqdefault.jpg', 'width': 480, 'height': 360}}",One54 Africa,none,2026-05-29T02:00:07Z,Zuoixu3xHQ8,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/Zuoixu3xHQ8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
